week_start,impressions,clicks,ctr,avg_cpc,cost,conversions,cpa,period_label
2025-09-29,20513,1327,0.06469068395651538,0.8218762102486813,1090.629731,32.004039,34.07787782660807,opening_overlap_week
2025-10-06,32245,1211,0.03755621026515739,0.6505546168455821,787.821641,25.998404,30.302692465275943,in_quarter_week
2025-10-13,110860,2626,0.02368753382644777,0.3622849748667174,951.360344,7.001937,135.87102311831714,in_quarter_week
2025-10-20,72597,2160,0.02975329559072689,0.4553980083333334,983.659698,14.002747,70.24762341274895,in_quarter_week
2025-10-27,21861,1313,0.060061296372535565,0.7605484028941356,998.600053,30.00519,33.280910835758746,in_quarter_week
2025-11-03,37268,1700,0.045615541483310075,0.6272986123529412,1066.407641,13.000066,82.03094053522497,in_quarter_week
2025-11-10,33071,1418,0.04287744549605394,0.9237483392101552,1309.875145,25.999578,50.380630985626,in_quarter_week
2025-11-17,22359,1144,0.05116507893912966,0.9395464326923078,1074.841119,23.004514,46.723052658273936,in_quarter_week
2025-11-24,40926,1474,0.0360162244050237,0.7371998595658072,1086.632593,17.000498,63.91769188173193,in_quarter_week
2025-12-01,6436,364,0.05655686761963953,0.9279002884615385,337.755705,41.002116,8.237518888049582,in_quarter_week
2025-12-08,27241,1287,0.04724496163870636,0.5325281445221446,685.363722,18.015001,38.04405683907539,in_quarter_week
2025-12-15,83312,2692,0.03231227194161705,0.5929455999257058,1596.209555,21.004229,75.99467492951062,in_quarter_week
2025-12-22,31965,1474,0.046112936023776,1.1802273303934872,1739.655085,38.988653,44.61952263393147,in_quarter_week
2025-12-29,28222,1140,0.040394018850542134,1.0095155535087719,1150.847731,24.000679,47.95063218836433,closing_overlap_week
