project,task_name,status,due_date,last_task_completion,est_hours,real_hours,category,quarter_attribution,attribution_rule
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-10-12,2025-10-12,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-10-19,2025-10-19,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-10-26,2025-10-26,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-11-02,2025-11-02,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-11-09,2025-11-09,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-11-16,2025-11-16,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-11-23,2026-01-01,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-11-30,2026-01-01,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Перенастроить отслеживание юзеров на сайте через Clarity,Done,2025-12-05,2026-01-01,0.25,0.25,Tracking,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-12-07,2026-01-01,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-12-14,2026-01-01,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-12-21,2025-12-22,2.0,2.0,Monitoring,Q4 2025,due_date
draljundi.com - Afra Fouad,Тижневий моніторинг,Done,2025-12-28,2026-01-01,2.0,2.0,Monitoring,Q4 2025,due_date
