period,post_count,reactions,comments,views,reposts
2026-02-16,1,3,1,29,0
2026-02-17,1,1,1,35,0
2026-02-18,2,5,2,67,0
2026-02-19,1,2,1,54,0
2026-02-20,1,1,1,38,0
2026-02-21,1,2,1,61,0
2026-02-23,1,3,1,61,0
2026-02-24,1,1,1,56,0
2026-02-25,1,3,1,129,0
2026-02-26,1,2,1,71,0
2026-02-27,1,1,1,76,0
2026-02-28,1,3,1,109,0
2026-03-02,1,2,1,33,0
2026-03-03,1,1,1,30,0
2026-03-04,1,2,2,76,0
2026-03-05,1,2,1,85,0
2026-03-06,1,2,2,3179,1
2026-03-07,1,1,2,93,0
2026-03-09,1,6,2,87,0
2026-03-10,1,1,1,39,0
2026-03-11,1,2,2,123,1
2026-03-12,1,2,1,57,1
2026-03-13,1,3,1,29,0
2026-03-14,1,2,1,53,0
2026-03-16,1,2,1,35,0
