"Gender","Campaign","Ad group","Status","Bid adj.","Avg. CPM","Impr.","Interactions","Interaction rate","Avg. cost","Cost","Conv. rate","Conversions","Cost / conv."
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
"Unknown","Rem | NL","customer list","Campaign paused","—","—","0","0","—","—","€0.00","0.00%","0.00","€0.00"
"Unknown","DGen | EN","All Products","Campaign paused","—","€0.38","20,859","70","Clicks","0.34%","€0.11","€7.96","0.00%","0.00"
"Unknown","ADa_Brand_NL","Phrase","Eligible","—","€0.00","5","0","0.00%","—","€0.00","0.00%","0.00","€0.00"
