Quarter	Matched location	Clicks	Impr.	CTR	Currency code	Avg. CPC	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Bulgaria	38	535	0.071	EUR	0.39	14.79	0	0	0
Current Quarter	Australia	37	2409	0.0154	EUR	1.47	54.51	0	0	0
Current Quarter	Finland	157	14598	0.0108	EUR	0.47	73.23	0.0084	2	36.61
Current Quarter	Sweden	210	24961	0.0084	EUR	0.54	112.48	0.0074	2	56.24
Current Quarter	Moldova	9	216	0.0417	EUR	0.9	8.07	0	0	0
Current Quarter	North Macedonia	8	231	0.0346	EUR	0.52	4.19	0	0	0
Current Quarter	Bosnia and Herzegovina	28	516	0.05429999999999999	EUR	0.5	13.95	0	0	0
Current Quarter	Kosovo	6	95	0.0632	EUR	0.52	3.11	0	0	0
Current Quarter	Denmark	128	10571	0.0121	EUR	1.23	156.8	0.006500000000000001	1	156.8
Current Quarter	Lithuania	33	453	0.0728	EUR	0.5	16.56	0	0	0
Current Quarter	United Kingdom	490	19580	0.025	EUR	0.75	369.22	0.006500000000000001	6	61.54
Current Quarter	Montenegro	5	77	0.0649	EUR	0.26	1.28	0	0	0
Current Quarter	Estonia	33	506	0.0652	EUR	0.67	22.13	0	0	0
Current Quarter	Hungary	205	10311	0.0199	EUR	0.67	136.91	0	0	0
Current Quarter	New Zealand	16	1048	0.0153	EUR	0.83	13.31	0	0	0
Current Quarter	Greece	56	1399	0.04	EUR	0.95	53.33	0	0	0
Current Quarter	Latvia	24	332	0.0723	EUR	0.8	19.09	0	0	0
Current Quarter	Spain	322	55887	0.0058	EUR	0.37	119.15	0.0011	1	119.15
Current Quarter	Austria	21	10719	0.002	EUR	0.67	14.01	0	0	0
Current Quarter	Norway	124	24624	0.005	EUR	0.38	47.33	0	0	0
Current Quarter	Czechia	151	38540	0.0039	EUR	0.21	31.21	0	0	0
Current Quarter	Germany	2160	89998	0.024	EUR	0.41	891.23	0.0074	19	46.91
Current Quarter	Canada	38	2460	0.0154	EUR	0.55	21.05	0	0	0
Current Quarter	Croatia	54	612	0.0882	EUR	0.48	26.05	0	0	0
Current Quarter	Romania	228	17999	0.0127	EUR	0.47	106.77	0	0	0
Current Quarter	Netherlands	5544	171471	0.0323	EUR	0.6	3305.53	0.0116	99	33.39
Current Quarter	Luxembourg	11	4403	0.0025	EUR	0.13	1.46	0	0	0
Current Quarter	Switzerland	215	25270	0.0085	EUR	0.57	122.03	0.0032	1	122.03
Current Quarter	Albania	6	137	0.0438	EUR	0.65	3.92	0	0	0
Current Quarter	Slovakia	215	39668	0.0054	EUR	0.38	81.38	0.0016	1	81.38
Current Quarter	Slovenia	156	25314	0.0062	EUR	0.28	43.49	0	0	0
Current Quarter	Italy	371	39507	0.009399999999999999	EUR	0.33	121.13	0.0042	3	40.38
Current Quarter	Serbia	20	327	0.0612	EUR	0.48	9.52	0	0	0
Current Quarter	Portugal	141	28112	0.005	EUR	0.34	47.24	0.0069	1	47.24
Current Quarter	France	244	44548	0.005500000000000001	EUR	0.33	80.86	0	0	0
Current Quarter	Belgium	344	27718	0.0124	EUR	1.21	416	0.0112	14	29.71
Current Quarter	United States	54	5455	0.009899999999999999	EUR	1.48	79.78	0.0115	1	79.78
Current Quarter	Poland	347	84538	0.004099999999999999	EUR	0.27	92.86	0	0	0
